folder,file_count,size_bytes,size_kb,size_mb
results/phase55/intrinsic_transfer_dimension,2,17486,17.1,0.02
results/phase55/latent_surgery,6,32823,32.1,0.03
results/phase55/latents,56,213335573,208335.5,203.45
results/phase55/mediation_analysis,2,1517,1.5,0.0
results/phase55/models,28,1559718,1523.2,1.49
results/phase55/objective_decomposition,2,29884,29.2,0.03
results/phase55/representation_isomorphism,5,15414,15.1,0.01
results/phase55/stats,1,2172,2.1,0.0
results/phase55/stress_tests,2,14313,14.0,0.01
results/phase55/tables,54,118803,116.0,0.11
results/phase56,15,310238,303.0,0.3
results/phase57,32,182137,177.9,0.17
results/phase58,20,149580,146.1,0.14
results/phase58/latents,7,297895262,290913.3,284.1
results/phase58/models,2,149062,145.6,0.14
results/phase58/tsne,24,2898288,2830.4,2.76
results/phase58/umap,24,2898288,2830.4,2.76
results/phase59,20,125259,122.3,0.12
results/phase59/confusion_matrices,3,194,0.2,0.0
results/phase60,12,120428,117.6,0.11
results/phase60/embeddings,18,261875400,255737.7,249.74
results/phase60/umap,9,2031176,1983.6,1.94
results/phase61,1,6996,6.8,0.01
results/phase62,14,1036953,1012.6,0.99
results/phase62/embeddings,1,22349,21.8,0.02
results/phase62/plots,6,683608,667.6,0.65
results/phase63,13,5492390,5363.7,5.24
results/phase63/embeddings,1,16526,16.1,0.02
results/phase64,2,1819161,1776.5,1.73
results/phase64/embeddings,9,18423936,17992.1,17.57
results/phase64/umap,2,354082,345.8,0.34
results/provenance,3,535632,523.1,0.51
results/sbom,1,748091,730.6,0.71
results/trust-report,1,2515,2.5,0.0
scripts,10,212316,207.3,0.2
scripts/analysis,47,1858081,1814.5,1.77
scripts/analysis/phase55,4,116669,113.9,0.11
scripts/audit,2,18600,18.2,0.02
scripts/benchmarks,8,64953,63.4,0.06
scripts/ci,13,89783,87.7,0.09
scripts/data,9,45819,44.7,0.04
scripts/deployment,1,9831,9.6,0.01
scripts/evaluation,6,105038,102.6,0.1
scripts/governance,1,3759,3.7,0.0
scripts/operations,7,44664,43.6,0.04
scripts/training,8,351398,343.2,0.34
scripts/training/core,5,50689,49.5,0.05
scripts/training/data,4,30955,30.2,0.03
scripts/training/diagnostics,4,46022,44.9,0.04
scripts/training/evaluation,3,41269,40.3,0.04
scripts/training/execution,5,42581,41.6,0.04
scripts/training/governance,5,34075,33.3,0.03
scripts/training/losses,5,70678,69.0,0.07
scripts/training/orchestration,4,99158,96.8,0.09
scripts/training/representation,3,11703,11.4,0.01
scripts/training/scheduler,6,68368,66.8,0.07
scripts/training/validation,5,37419,36.5,0.04
src,1,275,0.3,0.0
src/helix_ids,2,2932,2.9,0.0
src/helix_ids.egg-info,6,14462,14.1,0.01
src/helix_ids/config,4,28083,27.4,0.03
src/helix_ids/contracts,5,22283,21.8,0.02
src/helix_ids/data,13,370786,362.1,0.35
src/helix_ids/governance,12,141628,138.3,0.14
src/helix_ids/metrics,5,50922,49.7,0.05
src/helix_ids/models,8,98879,96.6,0.09
src/helix_ids/models/adaptation,7,116179,113.5,0.11
src/helix_ids/operations,4,62674,61.2,0.06
src/helix_ids/operations/logging,4,14416,14.1,0.01
src/helix_ids/operations/recovery,2,12424,12.1,0.01
src/helix_ids/operations/safety,2,17977,17.6,0.02
src/helix_ids/training,2,541,0.5,0.0
src/helix_ids/utils,5,87234,85.2,0.08
tests,51,821193,801.9,0.78
tests/architecture,7,54086,52.8,0.05
tests/config,1,15514,15.2,0.01
tests/fixtures,1,1084,1.1,0.0
tests/operations,3,83285,81.3,0.08
tests/test_data,6,80298,78.4,0.08
tests/test_governance,13,64027,62.5,0.06
tests/test_models,4,38158,37.3,0.04
tests/test_operations,9,68786,67.2,0.07
tests/test_training,2,32076,31.3,0.03
tests/test_utils,2,6528,6.4,0.01
tests/training,18,408885,399.3,0.39
